name,price,address,equipments,formatted_capacity,opening_periods,horaires,langues
Dream Avignon - Appartements meublés,,"Quartier Carnot/Carmes, 4 rue Saint Guillaume, 84000 Avignon",Animaux non acceptés,5 chambre(s) pour Non disponible personnes,,,N/D
Hôtel Festival Sud,65€,"115 rue Mourelet, 84000 Avignon",Piscine,2 chambre(s) pour 9 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Tour d'Espagne - Location de vacances,,"580, chemin de la Sacristie, 84000 Avignon","Non accessible en fauteuil roulant,Aspirateur,Non fumeur,Matériel Bébé,Accès Internet privatif Wifi,Climatisation,Congélateur,Douche,Draps compris,Four,Lave linge privatif,Lave vaisselle",2 chambre(s) pour 4 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Face au Palais - Chambres d'hôtes,160€,"13 B Place du Palais, 84000 Avignon","Non accessible en fauteuil roulant,Climatisation,Parking,Jardin,Mitoyen propriétaire,Parking payant,Accès Internet Wifi,Animaux non acceptés",2 chambre(s) pour 4 Personne(s) personnes,Du 2 mars 2025 au 27 novembre 2025 - Ouvert tous les jours,,N/D
Aux Beaux Arts et Aux Etudes - Location de vacances,,"17 PLACE DES ETUDES, 84000 Avignon","Réfrigérateur,Chauffage,Accès Internet privatif Wifi gratuit,Lave linge privatif,Lave vaisselle,Micro-ondes,Sèche cheveux,Véranda,Lit 90 cm,Coffre privatif,Télévision,Congélateur",2 chambre(s) pour 1 Lit(s) double(s)   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Première Classe Avignon Courtine Gare TGV,39€,"255, Chemin de Ramatuel, 255 chemin de Ramatuel, ZAC de Courtine, 84000 Avignon","Handicap auditif,Accessible en fauteuil roulant en autonomie,Climatisation,Lit 160 cm,Lit bébé,Chambre familiale,Télévision,Accès Internet privatif Wifi,Matériel Bébé,Non fumeur,Jardin,Parc",2 chambre(s) pour 23 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Danieli,75€,"17, rue de la République, 84000 Avignon","Non accessible en fauteuil roulant,Lit 140 cm,Lit 160 cm,Lit bébé,Chambre familiale,Coin cuisine,Matériel Bébé,Abris pour vélo ou VTT,Climatisation,Parking,Parking payant,Accueil nuit",1 chambre(s) pour 6 Chambre(s) twin   personnes,Du 1 janvier 2025 au 10 octobre 2025 - Ouvert tous les jours,,N/D
Hôtel Restaurant Novotel Avignon Centre,110€,"20, Boulevard Saint-Roch, 84000 Avignon",Piscine,4 chambre(s) pour 130 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel de l'Horloge,99€,"1, Rue Félicien David, Place de l'Horloge, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Climatisation,Lit bébé,Chambre familiale,Coffre privatif,Matériel Bébé,Non fumeur,Salle de réunion,Ascenseur,Climatisation,Micro",3 chambre(s) pour 66 Chambre(s) personnes,Du 1 janvier 2025 au 1 novembre 2025 - Ouvert tous les jours,,N/D
Hôtel le Magnan,68€,"63, rue du Portail Magnanen, 84000 Avignon","Non accessible en fauteuil roulant,Alarme visuelle avec flash lumineux,Boucle magnétique disponible à l’accueil,Matériel Bébé,Lit 160 cm,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Climatisation,Parking,Jardin,Parking payant",2 chambre(s) pour 30 Chambre(s) personnes,Du 13 janvier 2025 au 21 décembre 2025 - Ouvert tous les jours,,N/D
Camélias Roses,1470€,"6 rue des Camélias, 84000 Avignon",Piscine,6 chambre(s) pour 3 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Altera Roma Boutique Hôtel,80€,"13, Avenue Monclar, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Lit 140 cm,Climatisation,Coffre privatif,Coin cuisine,Lit 160 cm,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Bar,Terrasse",1 chambre(s) pour 1 Chambre(s) twin   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Cabanes des Grands Cépages,200€,"2061 Chemin des Pompes, Lac de la Lionne, 84700 Sorgues",Piscine,1 chambre(s) pour 1 Chambre(s) familiale   personnes,Du 7 mars 2025 au 22 novembre 2025 - Ouvert tous les jours,,N/D
Hôtel Le Ya'Tis,97€,"112 Avenue des Grenaches, Parc du Tésan, 30126 Saint-Laurent-des-Arbres","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Sèche cheveux,Télévision,Lit bébé,Chambre familiale,Terrasse,Climatisation,Parking,Jardin,Parking autocar,Parking privé",2 chambre(s) pour 96 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Garance en Provence,5700€,"4010 Route de Saint-Saturnin d'Avignon, 84250 Le Thor",Piscine,2 chambre(s) pour 5 Lit(s) double(s)   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hotel F1 Avignon Nord,35€,"135, Avenue Louis Pasteur, 84700 Sorgues","Accessible en fauteuil roulant en autonomie,Place réservée PMR,WC + barre d'appui + espace de circulation,Alarme visuelle avec flash lumineux,Boucle magnétique disponible à l’accueil,Personnel d’accueil sensibilisé à l’accueil des personnes en situation de handicap,Télévision,Matériel Bébé,Jardin,Parking gratuit,Parking privé,Parking",4 chambre(s) pour 31 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Le Prieuré  - Baumanière,,"7 place du Chapitre, 30400 Villeneuve-lès-Avignon",Piscine,3 chambre(s) pour 76 Personne(s) personnes,Du 12 avril 2025 au 29 octobre 2025 - Ouvert tous les jours,,N/D
Les Micocouliers,,"445 Route de Cassoulen, 13690 Graveson",Piscine,1 chambre(s) pour 24 Emplacement(s) locatif   personnes,Du 15 mars 2025 au 15 octobre 2025 - Ouvert tous les jours,,N/D
La Reine Jeanne - Location de vacances,,"24, bis rue Saint Etienne, rue Petite Saunerie, Rue Banasterie, 84000 Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Accès Internet privatif Wifi,Climatisation,Coffre privatif,Lit bébé,Climatisation,Parking,Habitation indépendante,Parking payant,Animaux acceptés,Ménage avec supplément",6 chambre(s) pour 26 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Ibis Avignon Centre Gare,80€,"42, Boulevard Saint-Roch, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Lit bébé,Coffre privatif,Matériel Bébé,Borne de recharge pour 2 roues électriques,Parking,Parking payant,Bornes de recharge pour véhicules électriques,Bar,Ascenseur,Climatisation",3 chambre(s) pour 98 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel de Cambis,140€,"89 rue Joseph Vernet, 84000 Avignon","Lit bébé,Coffre privatif,Matériel Bébé,Salle de réunion,Bar,Ascenseur,Climatisation,Paper board,Tables rectangulaires,Tables,Visioconférence",2 chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Gîtes BLANCHE FLEUR,,"401 Chemin du Moulin Neuf, 84470 Châteauneuf-de-Gadagne",Piscine,1 chambre(s) pour 26 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Chambres d'hôtes D'Or Les Anges,110€,"8 impasse des Iris, 30133 Les Angles",Piscine,5 chambre(s) pour 5 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hostellerie du Château des Fines Roches,99€,"1901 Route de Sorgues, 84230 Châteauneuf-du-Pape",Piscine,1 chambre(s) pour 10 Chambre(s) double   personnes,Du 1 janvier 2025 au 23 décembre 2025 - Ouvert tous les jours,,N/D
"Les Maisons et le Spa de ""à 2 pas des vignes""",,"93 chemin de la Bigote, 84230 Châteauneuf-du-Pape",Piscine,1 chambre(s) pour 11 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Chambre d'hôtes Entre Vigne et Garrigue,125€,"Mas Saint Bruno, 600 Route de Saint Bruno, 30131 Pujaut",Piscine,5 chambre(s) pour 15 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel La Suite,169€,"67, Rue de la République, 30400 Villeneuve-lès-Avignon",Piscine,1 chambre(s) pour 5 Chambre(s) double   personnes,Du 27 mai 2025 au 28 septembre 2025 - Ouvert tous les jours,,N/D
Camping Avignon Parc Ciela Village,,"385 route d'Entraigues, 84270 Vedène",Piscine,1 chambre(s) pour 40 Emplacement(s) camping-car(s)   personnes,Du 5 avril 2025 au 30 septembre 2025 - Ouvert tous les jours,,N/D
Hôtel du Parc,70€,"1061 route de Carpentras, 84320 Entraigues-sur-la-Sorgue",Piscine,2 chambre(s) pour 30 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Castel Mouisson,80€,"247 Chemin Sous Les Roches, 13570 Barbentane",Piscine,3 chambre(s) pour 17 Chambre(s) personnes,Lundi,,N/D
Hôtel Ibis Budget Avignon Nord,60€,"643 Avenue de Fontvert, ZI Saint-Tronquet, 84130 Le Pontet","Accessible en fauteuil roulant en autonomie,Climatisation,Lit bébé,Chambre familiale,Télévision,Accès Internet privatif Wifi,Matériel Bébé,Parking privé,Parking autocar,Parking,Terrasse,Animaux acceptés",3 chambre(s) pour 91 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Le Cloître du Couvent - Studio,,"35 rue des Récollets, 30400 Villeneuve-lès-Avignon","Non accessible en fauteuil roulant,Non fumeur,Matériel Bébé,Accès Internet privatif Wifi,Cuisine,Congélateur,Draps compris,Four,Lave linge privatif,Réfrigérateur,Sèche cheveux,Télévision",1 chambre(s) pour 2 Personne(s) personnes,Du 1 mars 2025 au 15 novembre 2025 - Ouvert tous les jours,,N/D
Hotel 1770 & SPA,149€,"107 Allée de Viré Abeille, 84130 Le Pontet",Piscine,2 chambre(s) pour 24 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Novotel Avignon Nord,120€,"135 avenue Louis Pasteur, 84700 Sorgues",Piscine,2 chambre(s) pour 100 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Mazet des Chutes Muscade,,"2, impasse des Chutes, 13690 Graveson",Piscine,1 chambre(s) pour 2 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Petite Rive - Les Oliviers,650€,"193 chemin de la Petite Bressy, 84740 Velleron",Piscine,1 chambre(s) pour 1 Chambre(s) personnes,Lundi,,N/D
Chambres d'hôtes Les Jardins de la Livrée,82€,"4 bis rue Camp de Bataille, 30400 Villeneuve-lès-Avignon",Piscine,2 chambre(s) pour 3 Lit(s) double(s)   personnes,Du 23 mars 2025 au 2 novembre 2025 - Ouvert tous les jours,,N/D
Camping Les Avignon - Vivacamp La Laune,,"Chemin Saint-Honoré, 30400 Villeneuve-lès-Avignon","Animations de soirées,Animation,Animation enfants,Lave linge collectif,Sèche linge collectif,Matériel Bébé,Restaurant,Parking privé,Parking autocar,Barrière automatique,Parking,Bar",1 chambre(s) pour Non disponible personnes,Du 1 mars 2025 au 31 octobre 2025 - Ouvert tous les jours,,N/D
YMCA Gard Pont d'Avignon,,"7 bis chemin de la Justice, BP 112, 30400 Villeneuve-lès-Avignon",Piscine,2 chambre(s) pour 144 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Maison les Lauriers,450€,"6 rue de l'enclos, 13150 Boulbon","Lit 140 cm,Climatisation,Lave linge privatif,Lave vaisselle,Micro-ondes,Sèche cheveux,Matériel de repassage,Canapé convertible,Lit 90 cm,Lit 160 cm,Cafetière,Télévision",2 chambre(s) pour 5 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Le Moulin d'Aure,116€,"112 Route de Cassoulen, 13690 Graveson",Piscine,1 chambre(s) pour 10 Chambre(s) twin   personnes,Du 1 avril 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
O'CUB HOTEL Cit'Hotel Les Logis,56€,"10 Impasse du Rhône, 30400 Villeneuve-lès-Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Accès Internet privatif Wifi,Climatisation,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Terrasse,Climatisation,Parking,Rooftop,Parking gratuit",1 chambre(s) pour 3 Chambre(s) twin   personnes,Du 19 février 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
L'Oréliane en Provence,,"215 Rue du Baron Leroy, 84470 Châteauneuf-de-Gadagne",Piscine,1 chambre(s) pour 5 Lit(s) double(s)   personnes,Lundi,,N/D
Logis Hôtel La Bastide d'Entraigues,,"175 Avenue du Général Charles de Gaulle, 84320 Entraigues-sur-la-Sorgue",Piscine,1 chambre(s) pour 13 Chambre(s) double   personnes,,,N/D
La Bastide de Boulbon,180€,"1 chemin de la Lône, 13150 Boulbon",Piscine,1 chambre(s) pour 8 Chambre(s) double   personnes,Du 11 avril 2025 au 13 octobre 2025 - Ouvert tous les jours,,N/D
Chambre d'Hôtes - Villa Aulia,90€,"12, Impasse de l'enclos, 30650 Saze",Piscine,1 chambre(s) pour 1 Chambre(s) personnes,Du 1 avril 2025 au 15 octobre 2025 - Ouvert tous les jours,,N/D
Fruit de Soleil,,"43 rue de Candau, 30133 Les Angles","Non accessible en fauteuil roulant,Cuisine,Réfrigérateur,Climatisation,Lave linge privatif,Micro-ondes,Sèche cheveux,Matériel de repassage,Télévision,Draps compris,Congélateur,Linge compris",2 chambre(s) pour 4 Personne(s) personnes,Du 1 avril 2025 au 31 octobre 2025 - Ouvert tous les jours,,N/D
Le Mas des Amandiers,84€,"112 Impasse des Amandiers, 13690 Graveson",Piscine,1 chambre(s) pour 24 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel de l'Atelier,82€,"5 rue de la Foire, 30400 Villeneuve-lès-Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Climatisation,Lit bébé,Chaise bébé,Chambre familiale,Abris pour vélo ou VTT,Terrasse,Climatisation,Parking,Jardin,Salle de réunion",2 chambre(s) pour 13 Chambre(s) twin   personnes,Du 3 mars 2025 au 28 décembre 2025 - Ouvert tous les jours,,N/D
Najeti Hôtel La Magnaneraie,85€,"37 rue Camp de Bataille, 30400 Villeneuve-lès-Avignon",Piscine,2 chambre(s) pour 32 Chambre(s) double   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
L'Escale des Alpilles,84€,"20 Boulevard des Arènes, 13870 Rognonas",Piscine,1 chambre(s) pour 10 Chambre(s) double   personnes,Lundi,,N/D
Camping Sandaya Ile des Papes,,"1497 Route Départementale 780, Quartier de l'Islon - Barrage de Villeneuve, 30400 Villeneuve-lès-Avignon",Piscine,3 chambre(s) pour 174 Emplacement(s) camping-car(s)   personnes,Du 11 avril 2025 au 28 septembre 2025 - Ouvert tous les jours,,N/D
Lou Roucas - Chambres d'hôtes,85€,"69 chemin Sainte-Suzanne, 372 A CH de la grave, 30390 Aramon",Piscine,4 chambre(s) pour 10 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Camping Verbéla Village,,"1004, Chemin des Mules, Les Paluds de Noves, 13550 Noves",Piscine,3 chambre(s) pour 22 Emplacement(s) locatif   personnes,Du 10 mars 2025 au 15 novembre 2025 - Ouvert tous les jours,,N/D
Mas des Rabasses,,"209 chemin des Daulands, 84130 Le Pontet",Piscine,1 chambre(s) pour 1 Chambre(s) personnes,"Toute l'année 2025 - Ouvert le lundi, le mardi, le mercredi, le jeudi, le vendredi, le samedi",,N/D
Hôtel Le Saint Louis,,"4 Allée de la Sauge, 84250 Le Thor",Piscine,2 chambre(s) pour 11 Chambre(s) twin   personnes,Du 6 janvier 2025 au 26 décembre 2025 - Ouvert tous les jours,,N/D
Camping La Roquette,,"745 Avenue Jean Mermoz, 13160 Châteaurenard",Piscine,6 chambre(s) pour 46 Emplacement(s) camping-car(s)   personnes,Du 29 mars 2025 au 18 octobre 2025 - Ouvert tous les jours,,N/D
