name,url,stars,rating,price,address,description,equipments,capacity,payment_methods,opening_periods
La Tour d'Espagne - Location de vacances,https://avignon-tourisme.com/offres/la-tour-despagne-location-de-vacances-avignon-fr-4143221/,0,,,"580, chemin de la Sacristie, 84000 Avignon","Venez poser vos valises dans cette maison moderne située à seulement 5 km du centre d'Avignon. Location décorée avec goût et modernité. 2 chambres avec salle d'eau et toilettes privatives , idéal 4 personnes.","Non accessible en fauteuil roulant,Aspirateur,Non fumeur,Matériel Bébé,Accès Internet privatif Wifi,Climatisation,Congélateur,Douche,Draps compris,Four,Lave linge privatif,Lave vaisselle",2 Chambre(s),"Chèque,Espèces,Virement",Toute l'année 2025 - Ouvert tous les jours
Hôtel d'Angleterre,https://avignon-tourisme.com/offres/hotel-dangleterre-avignon-fr-4143234/,0,,70€,"29, boulevard Raspail, 84000 Avignon","Hôtel *** situé à l'intérieur des remparts dans un quartier calme et résidentiel, à 500 mètres de la gare et du Palais des Papes. 40 chambres à la décoration raffinée. Garage à motos et local vélo, bornes de recharge uniquement pour Tesla. .","Non accessible en fauteuil roulant,Matériel Bébé,Lit 140 cm,Lit 160 cm,Lit bébé,Chambre familiale,Lit 180 cm,Abris pour vélo ou VTT,Ascenseur,Terrasse,Climatisation,Parking",40 Chambre(s) double,"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces",Du 17 janvier 2025 au 19 décembre 2025 - Ouvert tous les jours
Résidence Les Cordeliers,https://avignon-tourisme.com/offres/residence-les-cordeliers-avignon-fr-4143595/,0,,,"49, rue du Portail Magnanen, 84000 Avignon","Cette résidence de tourisme, située à l’intérieur des remparts, offre 60 hébergements, de studios aux deux pièces, confortables et équipés avec kitchenette et salle de bain privative. Laverie et location de salle de réunion sont également disponibles.","Accessible en fauteuil roulant en autonomie,Non fumeur,Matériel Bébé,Lit 140 cm,Sanitaires privés,Climatisation,Coin cuisine,Douche,Draps compris,Sèche cheveux,Télévision,Hébergement insonorisé",,"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Hôtel Mercure Avignon Gare TGV,https://avignon-tourisme.com/offres/hotel-mercure-avignon-gare-tgv-avignon-fr-4143656/,0,,119€,"2 Rue Mère Térésa, 84000 Avignon","Avec 113 chambres et suites, spa, restaurant bistronomique locavore et salles de séminaire, cet hôtel vous plonge dans l’ambiance théâtrale d’Avignon. Un véritable lieu de vie pour une expérience unique alliant confort, gastronomie et bien-être.",Piscine,4 Chambre(s) pour personne à mobilité réduite,"Chèque,Carte bancaire/crédit,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Les Jardins d'Arcadie,https://avignon-tourisme.com/offres/les-jardins-darcadie-avignon-fr-4143924/,0,,,"16 Boulevard Saint-Roch, 84000 Avignon","Située boulevard Saint-Roch, face aux remparts d'Avignon, la résidence seniors Les Jardins d'Arcadie propose 105 appartements meublés, du studio au T3. Restaurant,  patio ombragé, conciergerie, parking. Elle propose aussi de la location saisonnière.","Handicap moteur,Accessible en fauteuil roulant en autonomie,Animation,Coin cuisine,Séjour / Salle à manger,Abris pour vélo ou VTT,Ascenseur,Terrasse,Climatisation,Laverie,Parking,Restaurant",105 Hébergement(s) pour personne à mobilité réduite,"Chèque,Carte bancaire/crédit",Toute l'année 2025 - Ouvert tous les jours
Domaine de Rhodes - Chambres d'hôtes,https://avignon-tourisme.com/offres/domaine-de-rhodes-chambres-dhotes-avignon-fr-4143646/,0,,115€,"Domaine de Rhodes, 486 chemin de Rhodes, Ile de la Barthelasse, 84000 Avignon","Au cœur de L'Ile de la Barthelasse, au pied de la Cité des Papes, le Domaine de Rhodes, 3*** est un ancien relais de chasse du XVIe siècle.",Piscine,5 Chambre(s),"Chèque,Carte bancaire/crédit,Espèces,Chèque-Vacances Classic",Du 15 mars 2025 au 15 novembre 2025 - Ouvert tous les jours
Aux Beaux Arts et Aux Etudes - Location de vacances,https://avignon-tourisme.com/offres/aux-beaux-arts-et-aux-etudes-location-de-vacances-avignon-fr-4143346/,0,,,"17 PLACE DES ETUDES, 84000 Avignon","Passez vos vacances en plein cœur du centre historique dans un lieu d'exception  ""Art Déco"" de la belle époque. Le charme sera au rendez-vous et l'emplacement idéal !","Réfrigérateur,Chauffage,Accès Internet privatif Wifi gratuit,Lave linge privatif,Lave vaisselle,Micro-ondes,Sèche cheveux,Véranda,Lit 90 cm,Coffre privatif,Télévision,Congélateur",2 Lit(s) simple(s),"Chèque,Carte bancaire/crédit",Toute l'année 2025 - Ouvert tous les jours
Avignon Grand Hôtel,https://avignon-tourisme.com/offres/avignon-grand-hotel-avignon-fr-4143935/,0,,75€,"34 Boulevard Saint-Roch, 84000 Avignon","L'Avignon Grand Hôtel élégant établissement 4 étoiles, se situe aux portes du centre historique, face aux remparts. Il propose 110 chambres spacieuses,  une piscine sur le toit, un jardin,et salles de réunion. Idéal pour séjours d'affaires ou de loisirs.",Piscine,3 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Espèces,Virement,Paiement en ligne",Toute l'année 2025 - Ouvert tous les jours
Le Clos Saluces - Chambres d'hôtes,https://avignon-tourisme.com/offres/le-clos-saluces-chambres-dhotes-avignon-fr-4143673/,0,,280€,"11 rue Saluces, 84000 Avignon","Au cœur du centre historique, cet hôtel particulier du XIXe siècle entièrement rénové, vous propose 4 chambres climatisées, décorées avec un subtil mélange de meubles et d'objets du XIXe  et des années 50 à 70.  Jardin au calme avec patio et fontaines.","Non accessible en fauteuil roulant,Câble / Satellite,Non fumeur,Accès Internet privatif Wifi,Accès Internet privatif Wifi gratuit,Climatisation,Douche,Draps compris,Sèche cheveux,Télévision,Séjour / Salle à manger,Douche à l'italienne",1 Lit(s) double(s),Carte bancaire/crédit,Du 1 avril 2025 au 30 septembre 2025 - Ouvert tous les jours
Les Airis et le Mazet des Amants,https://avignon-tourisme.com/offres/les-airis-et-le-mazet-des-amants-avignon-fr-4143740/,0,,,"135 chemin des Amants d'Avignon, 84140 Avignon","Les Airis et le Mazet des Amants  se situe au vert et au frais, sur un terrain arboré de 5000 m2, à 7 minutes en voiture du centre historique (14 minutes en vélo).",Piscine,2 Chambre(s),"Carte bancaire/crédit,Chèque,Paiement en ligne",Toute l'année 2025 - Ouvert tous les jours
